pattern,method,num_images,calib_rms,mean_rot_deg,mean_trans_m
chessboard_11x8,CALIB_HAND_EYE_TSAI,20,0.314613,0.242198,0.0164956
chessboard_11x8,CALIB_HAND_EYE_PARK,20,0.314613,0.24151,0.0164893
chessboard_11x8,CALIB_HAND_EYE_HORAUD,20,0.314613,0.241517,0.0164903
chessboard_11x8,CALIB_HAND_EYE_DANIILIDIS ,20,0.314613,1.24464,0.0327554
